Bottom,Top,Point
Beige,Black,1
Beige,Blue,2
Beige,Brown,11
Beige,Gray,12
Beige,Green,10
Beige,Multicolor_Pattern,3
Beige,Orange,5
Beige,Pink,4
Beige,Red,8
Beige,Violet,9
Beige,White,6
Beige,Yellow,7
Black,Beige,2
Black,Blue,3
Black,Brown,12
Black,Gray,10
Black,Green,9
Black,Multicolor_Pattern,4
Black,Orange,5
Black,Pink,6
Black,Red,11
Black,Violet,7
Black,White,1
Black,Yellow,8
Blue,Beige,3
Blue,Black,4
Blue,Brown,5
Blue,Gray,6
Blue,Orange,1
Blue,White,2
Brown,Beige,1
Brown,Black,8
Brown,Blue,5
Brown,Gray,6
Brown,Green,4
Brown,Multicolor_Pattern,4
Brown,Orange,5
Brown,Pink,6
Brown,Red,9
Brown,Violet,7
Brown,White,2
Brown,Yellow,3
Gray,Beige,12
Gray,Black,10
Gray,Blue,5
Gray,Brown,9
Gray,Green,6
Gray,Multicolor_Pattern,4
Gray,Orange,1
Gray,Pink,3
Gray,Red,2
Gray,Violet,7
Gray,White,11
Gray,Yellow,8
Green,Beige,7
Green,Black,6
Green,Brown,5
Green,Gray,4
Green,White,3
Green,Yellow,2
Green,Blue,1
Multicolor_Pattern,Beige,1
Multicolor_Pattern,Black,2
Multicolor_Pattern,Brown,5
Multicolor_Pattern,Gray,4
Multicolor_Pattern,White,3
Orange,Beige,5
Orange,Black,2
Orange,Blue,1
Orange,Brown,3
Orange,Gray,6
Orange,White,4
Pink,Beige,3
Pink,Black,1
Pink,Brown,2
Pink,Gray,5
Pink,White,4
Red,Beige,3
Red,Black,5
Red,Brown,4
Red,Gray,2
Red,White,1
Violet,Beige,4
Violet,Black,5
Violet,Brown,6
Violet,Gray,7
Violet,White,2
Violet,Yellow,1
Violet,Pink,3
White,Beige,5
White,Black,1
White,Blue,6
White,Brown,4
White,Gray,12
White,Green,10
White,Multicolor_Pattern,2
White,Orange,9
White,Pink,8
White,Red,3
White,Violet,7
White,Yellow,11
Yellow,Beige,4
Yellow,Black,2
Yellow,Brown,3
Yellow,Gray,5
Yellow,Green,6
Yellow,Violet,1
Yellow,White,7
